"","param_value","type","rep","response_no","p"
"1","autismfanned2-1","autismfanned2","1",1,0.224832214765101
"2","autismfanned2-2","autismfanned2","2",1,0.590909090909091
"3","autismfanned2-3","autismfanned2","3",1,0.452873563218391
"4","autismfanned2-4","autismfanned2","4",1,0.616352201257862
"5","autismfanned2-5","autismfanned2","5",1,0.407640449438202
"6","autismordered-1","autismordered","1",1,0.333333333333333
"7","autismordered-2","autismordered","2",1,0.4625
"8","autismordered-3","autismordered","3",1,0.315315315315315
"9","autismordered-4","autismordered","4",1,0.327272727272727
"10","autismordered-5","autismordered","5",1,0.447368421052632
"11","autismunordered-1","autismunordered","1",1,1
"12","autismunordered-2","autismunordered","2",1,0.251968503937008
"13","autismunordered-3","autismunordered","3",1,0.363636363636364
"14","autismunordered-4","autismunordered","4",1,0.466666666666667
"15","autismunordered-5","autismunordered","5",1,0.273972602739726
"16","cyclone-1","cyclone","1",1,0.2
"17","cyclone-2","cyclone","2",1,0.260869565217391
"18","cyclone-3","cyclone","3",1,0.175182481751825
"19","cyclone-4","cyclone","4",1,0.266666666666667
"20","cyclone-5","cyclone","5",1,0.276595744680851
"21","dialyzerheterogeneous-1","dialyzerheterogeneous","1",1,0.134416543574594
"22","dialyzerheterogeneous-2","dialyzerheterogeneous","2",1,0.350453172205438
"23","dialyzerheterogeneous-3","dialyzerheterogeneous","3",1,0.306451612903226
"24","dialyzerheterogeneous-4","dialyzerheterogeneous","4",1,0.358993902439024
"25","dialyzerheterogeneous-5","dialyzerheterogeneous","5",1,0.20253164556962
"26","dialyzernonlinear-1","dialyzernonlinear","1",1,0.444444444444444
"27","dialyzernonlinear-2","dialyzernonlinear","2",1,0.5
"28","dialyzernonlinear-3","dialyzernonlinear","3",1,0.35
"29","dialyzernonlinear-4","dialyzernonlinear","4",1,0.285714285714286
"30","dialyzernonlinear-5","dialyzernonlinear","5",1,0.571428571428571
"31","electoral-1","electoral","1",1,0.317680428616451
"32","electoral-2","electoral","2",1,0.299727520435967
"33","electoral-3","electoral","3",1,0.379980563654033
"34","electoral-4","electoral","4",1,0.304222093695778
"35","electoral-5","electoral","5",1,0.386648122392211
"36","examcorr-1","examcorr","1",1,0.468053491827637
"37","examcorr-2","examcorr","2",1,0.37956204379562
"38","examcorr-3","examcorr","3",1,0.571788413098237
"39","examcorr-4","examcorr","4",1,0.330188679245283
"40","examcorr-5","examcorr","5",1,0.816901408450704
"41","examfanned-1","examfanned","1",1,0.255559845559846
"42","examfanned-2","examfanned","2",1,0.417989417989418
"43","examfanned-3","examfanned","3",1,0.316259678379988
"44","examfanned-4","examfanned","4",1,0.193700787401575
"45","examfanned-5","examfanned","5",1,0.193720379146919
"46","examuncorr-1","examuncorr","1",1,0.454436450839329
"47","examuncorr-2","examuncorr","2",1,0.206361520558573
"48","examuncorr-3","examuncorr","3",1,0.272727272727273
"49","examuncorr-4","examuncorr","4",1,0.13768115942029
"50","examuncorr-5","examuncorr","5",1,0.213541666666667
"51","radontranef-1","radontranef","1",1,0.331967213114754
"52","radontranef-2","radontranef","2",1,0.544430538172716
"53","radontranef-3","radontranef","3",1,0.4296875
"54","radontranef-4","radontranef","4",1,0.303636363636364
"55","radontranef-5","radontranef","5",1,0.270833333333333
"56","autismfanned2-1","autismfanned2","1",2,0.167785234899329
"57","autismfanned2-2","autismfanned2","2",2,0.136363636363636
"58","autismfanned2-3","autismfanned2","3",2,0.282758620689655
"59","autismfanned2-4","autismfanned2","4",2,0.0880503144654088
"60","autismfanned2-5","autismfanned2","5",2,0.257078651685393
"61","autismordered-1","autismordered","1",2,0.222222222222222
"62","autismordered-2","autismordered","2",2,0.225
"63","autismordered-3","autismordered","3",2,0.216216216216216
"64","autismordered-4","autismordered","4",2,0.2
"65","autismordered-5","autismordered","5",2,0.105263157894737
"66","autismunordered-1","autismunordered","1",2,0
"67","autismunordered-2","autismunordered","2",2,0.192913385826772
"68","autismunordered-3","autismunordered","3",2,0.181818181818182
"69","autismunordered-4","autismunordered","4",2,0.233333333333333
"70","autismunordered-5","autismunordered","5",2,0.255707762557078
"71","cyclone-1","cyclone","1",2,0.14
"72","cyclone-2","cyclone","2",2,0.156521739130435
"73","cyclone-3","cyclone","3",2,0.153284671532847
"74","cyclone-4","cyclone","4",2,0.166666666666667
"75","cyclone-5","cyclone","5",2,0.212765957446809
"76","dialyzerheterogeneous-1","dialyzerheterogeneous","1",2,0.128508124076809
"77","dialyzerheterogeneous-2","dialyzerheterogeneous","2",2,0.105740181268882
"78","dialyzerheterogeneous-3","dialyzerheterogeneous","3",2,0.205645161290323
"79","dialyzerheterogeneous-4","dialyzerheterogeneous","4",2,0.0754573170731707
"80","dialyzerheterogeneous-5","dialyzerheterogeneous","5",2,0.132208157524613
"81","dialyzernonlinear-1","dialyzernonlinear","1",2,0.333333333333333
"82","dialyzernonlinear-2","dialyzernonlinear","2",2,0.5
"83","dialyzernonlinear-3","dialyzernonlinear","3",2,0.3
"84","dialyzernonlinear-4","dialyzernonlinear","4",2,0.285714285714286
"85","dialyzernonlinear-5","dialyzernonlinear","5",2,0.285714285714286
"86","electoral-1","electoral","1",2,0.317680428616451
"87","electoral-2","electoral","2",2,0.237965485921889
"88","electoral-3","electoral","3",2,0.135811467444121
"89","electoral-4","electoral","4",2,0.225563909774436
"90","electoral-5","electoral","5",2,0.166898470097357
"91","examcorr-1","examcorr","1",2,0.337295690936107
"92","examcorr-2","examcorr","2",2,0.262773722627737
"93","examcorr-3","examcorr","3",2,0.287153652392947
"94","examcorr-4","examcorr","4",2,0.245283018867925
"95","examcorr-5","examcorr","5",2,0.0845070422535211
"96","examfanned-1","examfanned","1",2,0.178918918918919
"97","examfanned-2","examfanned","2",2,0.134920634920635
"98","examfanned-3","examfanned","3",2,0.140559857057772
"99","examfanned-4","examfanned","4",2,0.188976377952756
"100","examfanned-5","examfanned","5",2,0.186018957345972
"101","examuncorr-1","examuncorr","1",2,0.111510791366906
"102","examuncorr-2","examuncorr","2",2,0.151280062063615
"103","examuncorr-3","examuncorr","3",2,0.131313131313131
"104","examuncorr-4","examuncorr","4",2,0.108695652173913
